赛段排名,作者,组别,赛段,上赛段推荐票,编辑推荐,在售作品,rank,category,rounds,vote,recom,works
1,大姑娘浪,言情,1,4846,0,2,1,romance,1,4846,0,2
2,周板娘,言情,1,3217,0,1,2,romance,1,3217,0,1
3,坡西米,言情,1,3204,0,5,3,romance,1,3204,0,5
6,陆雾,言情,1,1647,0,5,6,romance,1,1647,0,5
13,小格,言情,1,1039,0,8,13,romance,1,1039,0,8
17,戒了五花肉,言情,1,782,0,8,17,romance,1,782,0,8
18,严秋,言情,1,765,0,2,18,romance,1,765,0,2
21,吃书的狐狸,言情,1,680,0,1,21,romance,1,680,0,1
30,林春令,言情,1,559,0,1,30,romance,1,559,0,1
33,天涯蝴蝶浪子,言情,1,478,0,4,33,romance,1,478,0,4
38,林不答,言情,1,330,1,4,38,romance,1,330,1,4
43,我想喝奶茶,言情,1,294,1,1,43,romance,1,294,1,1
46,阮郎不归,言情,1,239,1,1,46,romance,1,239,1,1
50,谢心甘,言情,1,163,1,1,50,romance,1,163,1,1
52,余元元,言情,1,128,1,2,52,romance,1,128,1,2
56,玻璃硬汉,言情,1,114,1,1,56,romance,1,114,1,1
67,关忆,言情,1,48,1,5,67,romance,1,48,1,5
68,宝盖儿,言情,1,34,1,2,68,romance,1,34,1,2
69,鱼穿鞋,言情,1,30,1,1,69,romance,1,30,1,1
70,简衡衡,言情,1,25,1,1,70,romance,1,25,1,1
8,S飒,悬疑,1,1560,0,5,8,thriller,1,1560,0,5
9,张半天,悬疑,1,1266,0,10,9,thriller,1,1266,0,10
10,徐暮明,悬疑,1,1231,0,2,10,thriller,1,1231,0,2
15,不明眼,悬疑,1,921,0,7,15,thriller,1,921,0,7
16,贝客邦,悬疑,1,834,0,7,16,thriller,1,834,0,7
25,波兰黑加仑,悬疑,1,613,0,3,25,thriller,1,613,0,3
27,陆春吾,悬疑,1,611,0,2,27,thriller,1,611,0,2
29,言定瑀,悬疑,1,573,0,2,29,thriller,1,573,0,2
31,赛西娅,悬疑,1,515,0,3,31,thriller,1,515,0,3
32,角木蛟,悬疑,1,488,0,3,32,thriller,1,488,0,3
37,易何,悬疑,1,352,1,1,37,thriller,1,352,1,1
45,木一杨柳,悬疑,1,248,1,4,45,thriller,1,248,1,4
47,吉良,悬疑,1,205,1,3,47,thriller,1,205,1,3
51,谭笑墨,悬疑,1,137,1,3,51,thriller,1,137,1,3
54,溯阳,悬疑,1,122,1,5,54,thriller,1,122,1,5
57,莫小绵,悬疑,1,112,1,1,57,thriller,1,112,1,1
61,慢三,悬疑,1,89,1,13,61,thriller,1,89,1,13
63,东坡柚,悬疑,1,68,1,3,63,thriller,1,68,1,3
66,土遁的地瓜,悬疑,1,52,1,4,66,thriller,1,52,1,4
71,李珏,悬疑,1,18,1,6,71,thriller,1,18,1,6
11,天下第一郭,幻想,1,1118,0,4,11,fantasy,1,1118,0,4
12,十三弦声,幻想,1,1106,0,2,12,fantasy,1,1106,0,2
24,李冬,幻想,1,639,0,10,24,fantasy,1,639,0,10
35,石径斜,幻想,1,374,0,3,35,fantasy,1,374,0,3
36,鹿迢迢,幻想,1,355,0,8,36,fantasy,1,355,0,8
39,回渊,幻想,1,312,0,6,39,fantasy,1,312,0,6
40,Lady Panda,幻想,1,311,0,5,40,fantasy,1,311,0,5
41,阿日希,幻想,1,308,0,1,41,fantasy,1,308,0,1
42,三月日,幻想,1,296,0,3,42,fantasy,1,296,0,3
44,老人家,幻想,1,291,0,2,44,fantasy,1,291,0,2
49,魏无忌,幻想,1,166,1,4,49,fantasy,1,166,1,4
55,张亦非,幻想,1,122,1,6,55,fantasy,1,122,1,6
60,六薰,幻想,1,91,1,1,60,fantasy,1,91,1,1
64,狐三火,幻想,1,64,1,1,64,fantasy,1,64,1,1
65,冰镇银河水,幻想,1,57,1,1,65,fantasy,1,57,1,1
73,别衡,幻想,1,15,1,2,73,fantasy,1,15,1,2
74,利兹啊栗子,幻想,1,10,1,3,74,fantasy,1,10,1,3
75,刘恋人世间,幻想,1,8,1,1,75,fantasy,1,8,1,1
76,林三撇,幻想,1,8,1,1,76,fantasy,1,8,1,1
79,今朝由九,幻想,1,2,1,1,79,fantasy,1,2,1,1
4,兰思思,女性,1,3045,0,20,4,female,1,3045,0,20
5,李尾,女性,1,2041,0,1,5,female,1,2041,0,1
7,祖乐,女性,1,1643,0,6,7,female,1,1643,0,6
14,爻一一,女性,1,1016,0,6,14,female,1,1016,0,6
19,丢小魂,女性,1,735,0,2,19,female,1,735,0,2
20,孙沁言,女性,1,687,0,13,20,female,1,687,0,13
22,易难,女性,1,670,0,13,22,female,1,670,0,13
23,安迪,女性,1,646,0,1,23,female,1,646,0,1
26,露西花,女性,1,612,0,4,26,female,1,612,0,4
28,叶眉,女性,1,603,0,6,28,female,1,603,0,6
34,梁鹤,女性,1,427,1,2,34,female,1,427,1,2
48,泡菜桑,女性,1,178,1,2,48,female,1,178,1,2
53,杬小如,女性,1,122,1,1,53,female,1,122,1,1
58,叫我李太太,女性,1,95,1,2,58,female,1,95,1,2
59,陆禾,女性,1,91,1,11,59,female,1,91,1,11
62,拾光葱葱,女性,1,73,1,15,62,female,1,73,1,15
72,9月白鹭,女性,1,16,1,1,72,female,1,16,1,1
77,龙潜十八,女性,1,5,1,1,77,female,1,5,1,1
78,彭小鱻,女性,1,5,1,1,78,female,1,5,1,1
80,夏叁酌,女性,1,1,1,1,80,female,1,1,1,1